date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:03:22	1175/1175	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225bd80745-497%22	https://mcoach.in/wp-content/plugins/ocean-extra//includes/widgets/js/mailchimp.min.js?ver=4.9.8	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/mcoach.in/wp-content/plugins/ocean-extra/includes/widgets/js/mailchimp.min5010.js	(from https://mcoach.in/prodiva-landing-page/)
16:03:23	197/197	---M--	200	added ('OK')	application/x-javascript	etag:%225bd80745-c5%22	https://mcoach.in/wp-content/plugins/ocean-extra//includes/widgets/js/share.min.js?ver=4.9.8	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/mcoach.in/wp-content/plugins/ocean-extra/includes/widgets/js/share.min5010.js	(from https://mcoach.in/prodiva-landing-page/)
16:03:23	9192/9192	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2028%20Nov%202017%2020:38:19%20GMT	https://c0.wp.com/p/jetpack/6.8/_inc/build/postmessage.min.js	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/c0.wp.com/p/jetpack/6.8/_inc/build/postmessage.min.js	(from https://mcoach.in/prodiva-landing-page/)
16:03:23	2809/2809	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2028%20Nov%202017%2020:38:19%20GMT	https://c0.wp.com/p/jetpack/6.8/_inc/build/jquery.jetpack-resize.min.js	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/c0.wp.com/p/jetpack/6.8/_inc/build/jquery.jetpack-resize.min.js	(from https://mcoach.in/prodiva-landing-page/)
16:03:24	1734/1734	---M--	200	added ('OK')	image/png	etag:%22a24a80e59eafc37b%22	https://i0.wp.com/mcoach.in/wp-content/uploads/2018/08/cropped-Asset-2.png?fit=32%2C32&ssl=1	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/i0.wp.com/mcoach.in/wp-content/uploads/2018/08/cropped-Asset-2e43b.png	(from https://mcoach.in/prodiva-landing-page/)
16:03:25	7046/7046	---M--	200	added ('OK')	image/png	etag:%223ffb26250b3ef355%22	https://i0.wp.com/mcoach.in/wp-content/uploads/2018/08/cropped-Asset-2.png?fit=192%2C192&ssl=1	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/i0.wp.com/mcoach.in/wp-content/uploads/2018/08/cropped-Asset-298d8.png	(from https://mcoach.in/prodiva-landing-page/)
16:03:25	292095/292095	---M--	200	added ('OK')	image/png	etag:%225bfbcb58-474ff%22	https://mcoach.in/wp-content/uploads/brizy/1600/assets/images/iW=5000&iH=any/e14b55b917ac1bc0ad9175bf51c08283.png	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/mcoach.in/wp-content/uploads/brizy/1600/assets/images/iW=5000&iH=any/e14b55b917ac1bc0ad9175bf51c08283.png	(from https://mcoach.in/prodiva-landing-page/)
16:03:25	6737/6737	---M--	200	added ('OK')	image/png	etag:%220cd25cd95f39283a%22	https://i0.wp.com/mcoach.in/wp-content/uploads/2018/08/cropped-Asset-2.png?fit=180%2C180&ssl=1	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/i0.wp.com/mcoach.in/wp-content/uploads/2018/08/cropped-Asset-2f9b5.png	(from https://mcoach.in/prodiva-landing-page/)
16:03:26	42/42	---M--	200	added ('OK')	image/gif	etag:%2258c1ebdf037b6a6b%22	https://i1.wp.com/mcoach.in/wp-content/plugins/a3-lazy-load/assets/images/lazy_placeholder.gif?w=1200&ssl=1	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/i1.wp.com/mcoach.in/wp-content/plugins/a3-lazy-load/assets/images/lazy_placeholderaeea.gif	(from https://mcoach.in/prodiva-landing-page/)
16:03:27	11905/11905	---M--	200	added ('OK')	image/png	etag:%225bfd4222-2e81%22	https://mcoach.in/wp-content/uploads/brizy/1600/assets/images/iW=400&iH=55&oX=0&oY=0&cW=400&cH=55/c05e8919e42468b7f6f82d36baf2188e.png	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/mcoach.in/wp-content/uploads/brizy/1600/assets/images/iW=400&iH=55&oX=0&oY=0&cW=400&cH=55/c05e8919e42468b7f6f82d36baf2188e.png	(from https://mcoach.in/prodiva-landing-page/)
16:03:28	4562/4562	---M--	200	added ('OK')	image/png	etag:%225bfd4223-11d2%22	https://mcoach.in/wp-content/uploads/brizy/1600/assets/images/iW=200&iH=28&oX=0&oY=0&cW=200&cH=28/c05e8919e42468b7f6f82d36baf2188e.png	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/mcoach.in/wp-content/uploads/brizy/1600/assets/images/iW=200&iH=28&oX=0&oY=0&cW=200&cH=28/c05e8919e42468b7f6f82d36baf2188e.png	(from https://mcoach.in/prodiva-landing-page/)
16:03:28	129329/129329	---M--	200	added ('OK')	image/png	etag:%225bfcca4f-1f931%22	https://mcoach.in/wp-content/uploads/brizy/1600/assets/images/iW=400&iH=490&oX=0&oY=0&cW=400&cH=490/2295b0591f402319da6ccc061bb49d02.png	G:/Company/Website/Prodiva/HTML/Prodiva%20HTML/mcoach.in/wp-content/uploads/brizy/1600/assets/images/iW=400&iH=490&oX=0&oY=0&cW=400&cH=490/2295b0591f402319da6ccc061bb49d02.png	(from https://mcoach.in/prodiva-landing-page/)
